iter	Passed	Remaining
0	0	375
1	0	413
2	1	420
3	1	405
4	2	419
5	2	375
6	2	380
7	2	356
8	3	332
9	3	311
10	3	293
11	3	283
12	3	273
13	3	263
14	3	257
15	4	249
16	4	244
17	4	240
18	4	234
19	4	244
20	5	238
21	5	233
22	5	228
23	5	224
24	5	218
25	5	214
26	5	211
27	5	207
28	6	204
29	6	201
30	6	198
31	6	195
32	6	193
33	6	190
34	6	188
35	7	189
36	7	190
37	7	189
38	7	188
39	7	186
40	7	184
41	8	183
42	8	183
43	8	183
44	8	181
45	8	182
46	8	182
47	9	180
48	9	179
49	9	178
50	9	177
51	9	175
52	9	174
53	9	173
54	10	172
55	10	171
56	10	169
57	10	168
58	10	167
59	10	166
60	10	165
61	10	164
62	10	163
63	11	162
64	11	162
65	11	162
66	11	162
67	11	162
68	11	161
69	12	160
70	12	160
71	12	160
72	12	160
73	12	159
74	12	159
75	13	159
76	13	158
77	13	159
78	13	159
79	13	159
80	13	158
81	14	157
82	14	157
83	14	156
84	14	156
85	14	155
86	14	154
87	14	154
88	15	153
89	15	153
90	15	152
91	15	152
92	15	151
93	15	150
94	15	150
95	15	150
96	16	149
97	16	149
98	16	148
99	16	148
100	16	147
101	16	147
102	16	146
103	16	146
104	17	145
105	17	145
106	17	145
107	17	144
108	17	144
109	17	144
110	17	143
111	18	143
112	18	143
113	18	142
114	18	142
115	18	141
116	18	141
117	18	141
118	19	140
119	19	140
120	19	140
121	19	140
122	19	139
123	19	139
124	19	139
125	20	138
126	20	138
127	20	138
128	20	137
129	20	137
130	20	137
131	20	136
132	20	136
133	21	136
134	21	135
135	21	135
136	21	135
137	21	134
138	21	134
139	21	134
140	22	134
141	22	133
142	22	133
143	22	133
144	22	132
145	22	132
146	22	132
147	22	131
148	23	131
149	23	131
150	24	135
151	24	134
152	24	134
153	24	134
154	24	134
155	24	134
156	24	133
157	25	133
158	25	133
159	25	133
160	25	132
161	25	132
162	25	132
163	25	131
164	25	131
165	26	131
166	26	131
167	26	131
168	26	131
169	26	130
170	26	130
171	27	130
172	27	129
173	27	129
174	27	129
175	27	129
176	27	128
177	27	128
178	28	128
179	28	128
180	28	127
181	28	127
182	28	127
183	28	127
184	28	126
185	28	126
186	29	126
187	29	125
188	29	125
189	29	125
190	29	125
191	29	124
192	29	124
193	29	124
194	30	124
195	30	123
196	30	123
197	30	123
198	30	123
199	30	123
200	30	122
201	31	122
202	31	122
203	31	122
204	31	122
205	31	121
206	31	121
207	31	121
208	32	121
209	32	120
210	32	120
211	32	120
212	32	120
213	32	119
214	32	119
215	32	119
216	33	119
217	33	118
218	33	118
219	33	118
220	33	118
221	33	117
222	33	117
223	33	117
224	34	117
225	34	116
226	34	116
227	34	116
228	34	116
229	34	116
230	34	115
231	34	115
232	35	115
233	35	115
234	35	114
235	35	114
236	35	114
237	35	114
238	35	113
239	35	113
240	36	113
241	36	113
242	36	113
243	36	113
244	36	112
245	36	112
246	36	112
247	37	112
248	37	112
249	37	112
250	37	112
251	37	111
252	37	111
253	37	111
254	38	111
255	38	111
256	38	110
257	38	110
258	38	110
259	38	110
260	38	110
261	38	109
262	39	109
263	39	109
264	39	109
265	39	108
266	39	108
267	39	108
268	39	108
269	39	108
270	40	107
271	40	107
272	40	107
273	40	107
274	40	107
275	40	106
276	40	106
277	41	106
278	41	106
279	41	106
280	41	105
281	41	105
282	41	105
283	41	105
284	41	105
285	42	105
286	42	104
287	42	104
288	42	104
289	42	104
290	42	104
291	42	103
292	42	103
293	43	103
294	43	103
295	43	103
296	43	103
297	43	102
298	43	102
299	43	102
300	44	102
301	44	102
302	44	101
303	44	101
304	44	101
305	44	101
306	44	101
307	44	100
308	45	100
309	45	100
310	45	100
311	45	100
312	45	100
313	45	99
314	45	99
315	46	99
316	46	99
317	46	99
318	46	99
319	46	98
320	46	98
321	46	98
322	46	98
323	47	98
324	47	98
325	47	98
326	47	97
327	47	97
328	47	97
329	47	97
330	48	97
331	48	96
332	48	96
333	48	96
334	48	96
335	48	96
336	48	96
337	48	95
338	49	95
339	49	95
340	49	95
341	49	95
342	49	95
343	49	94
344	49	94
345	50	94
346	50	94
347	50	94
348	50	94
349	50	93
350	50	93
351	50	93
352	50	93
353	51	93
354	51	93
355	51	92
356	51	92
357	51	92
358	51	92
359	51	92
360	51	92
361	52	91
362	52	91
363	52	91
364	52	91
365	52	91
366	52	91
367	52	90
368	53	90
369	53	90
370	53	90
371	53	90
372	53	90
373	53	89
374	53	89
375	53	89
376	54	89
377	54	89
378	54	89
379	54	88
380	54	88
381	54	88
382	54	88
383	55	88
384	55	88
385	55	87
386	55	87
387	55	87
388	55	87
389	55	87
390	55	87
391	56	86
392	56	86
393	56	86
394	56	86
395	56	86
396	56	86
397	56	85
398	56	85
399	57	85
400	57	85
401	57	85
402	57	85
403	57	84
404	57	84
405	57	84
406	57	84
407	58	84
408	58	84
409	58	83
410	58	83
411	58	83
412	58	83
413	58	83
414	58	83
415	59	82
416	59	82
417	59	82
418	59	82
419	59	82
420	59	82
421	60	82
422	60	82
423	60	81
424	60	81
425	60	81
426	60	81
427	60	81
428	60	81
429	61	80
430	61	80
431	61	80
432	61	80
433	61	80
434	61	80
435	61	80
436	61	79
437	62	79
438	62	79
439	62	79
440	62	79
441	62	78
442	62	78
443	62	78
444	62	78
445	63	78
446	63	78
447	63	78
448	63	77
449	63	77
450	63	77
451	63	77
452	63	77
453	64	77
454	64	76
455	64	76
456	64	76
457	64	76
458	64	76
459	64	76
460	64	75
461	65	75
462	65	75
463	65	75
464	65	75
465	65	75
466	65	75
467	65	74
468	65	74
469	66	74
470	66	74
471	66	74
472	66	74
473	66	73
474	66	73
475	66	73
476	67	73
477	67	73
478	67	73
479	67	73
480	67	72
481	67	72
482	67	72
483	67	72
484	68	72
485	68	72
486	68	72
487	68	71
488	68	71
489	68	71
490	68	71
491	69	71
492	69	71
493	69	71
494	69	70
495	69	70
496	69	70
497	69	70
498	70	70
499	70	70
500	70	69
501	70	69
502	70	69
503	70	69
504	70	69
505	70	69
506	71	69
507	71	69
508	71	68
509	71	68
510	71	68
511	71	68
512	72	68
513	72	68
514	72	68
515	72	67
516	72	67
517	72	67
518	72	67
519	73	67
520	73	67
521	73	67
522	73	66
523	73	66
524	73	66
525	73	66
526	73	66
527	74	66
528	74	66
529	74	65
530	74	65
531	74	65
532	74	65
533	74	65
534	74	65
535	75	64
536	75	64
537	75	64
538	75	64
539	75	64
540	75	64
541	75	64
542	75	63
543	76	63
544	76	63
545	76	63
546	76	63
547	76	63
548	76	63
549	77	63
550	77	62
551	77	62
552	77	62
553	77	62
554	77	62
555	77	62
556	77	61
557	78	61
558	78	61
559	78	61
560	78	61
561	78	61
562	78	61
563	78	60
564	78	60
565	79	60
566	79	60
567	79	60
568	79	60
569	79	60
570	79	59
571	79	59
572	79	59
573	80	59
574	80	59
575	80	59
576	80	58
577	80	58
578	80	58
579	80	58
580	80	58
581	81	58
582	81	58
583	81	57
584	81	57
585	81	57
586	81	57
587	81	57
588	81	57
589	82	57
590	82	56
591	82	56
592	82	56
593	82	56
594	82	56
595	83	56
596	83	56
597	83	56
598	83	55
599	83	55
600	83	55
601	83	55
602	83	55
603	84	55
604	84	55
605	84	54
606	84	54
607	84	54
608	84	54
609	84	54
610	85	54
611	85	53
612	85	53
613	85	53
614	85	53
615	85	53
616	85	53
617	85	53
